xd,xla1,xla2,xm,xl,ar,aa,ah,br,ba,bh,xb,yb
6,7,9,52,115,20,0,0,1,0,0,20,6.11
2,2,3,61,87,0,75,0,0,1,0,75,104.35
2,2,13,78,108,0,150,0,0,1,0,150,75.06
5,4,27,71,102,0,0,0,0,0,0,65,21.51
5,8,1,28,92,5,0,0,1,0,0,5,5.9
2,53,8,21,102,25,0,0,1,0,0,25,11.11
3,6,9,40,99,29,0,0,1,0,0,29,23.59
6,19,15,34,101,0,0,0,0,0,0,50,13.84
7,15,6,49,98,25,0,0,1,0,0,25,0.84
5,6,11,66,127,28,0,0,1,0,0,28,5.3
4,11,5,70,109,15,0,0,1,0,0,15,0.12
7,22,12,51,128,44,0,0,1,0,0,44,24.71
5,4,4,47,95,0,0,0,0,0,0,25,6.54
4,2,5,45,108,0,0,0,0,0,0,28,5.32
1,13,6,76,103,0,0,15,0,0,1,15,24.73
5,11,6,76,112,0,0,0,0,0,0,18,0.19
6,12,5,55,92,0,125,0,0,1,0,125,46.58
3,7,4,66,89,19,19,0,1,1,0,19,34.26
18,6,6,57,126,0,0,0,0,0,0,110,28.87
8,5,8,59,86,0,0,17,0,0,1,17,16.8
7,3,10,22,120,0,0,0,0,0,0,5,7.62
10,5,8,57,114,40,0,0,1,0,0,40,14.69
11,26,27,68,107,0,0,0,0,0,0,110,20.22
9,14,3,67,111,0,0,0,0,0,0,20,20.24
12,34,6,54,132,0,0,0,0,0,0,90,34.7
2,8,1,63,100,15,0,0,1,0,0,15,9.45
5,2,4,42,97,0,0,10,0,0,1,10,10.78
20,14,6,58,134,40,0,0,1,0,0,40,8
1,9,14,64,97,3,0,0,1,0,0,3,0.11
12,12,7,49,107,40,0,40,1,0,1,40,13.6
6,11,7,58,117,0,0,0,0,0,0,80,10.29
1,2,3,48,92,8,0,8,1,0,1,8,2.01
7,2,21,81,107,0,150,0,0,1,0,150,56.63
14,5,2,48,144,50,0,0,1,0,0,50,16.19
4,21,15,70,116,50,0,0,1,0,0,50,11.2
2,8,4,51,98,33,0,0,1,0,0,33,16.63
20,1,2,83,117,10,0,0,1,0,0,10,0.31
9,8,9,81,116,0,0,0,0,0,0,47,24.07
5,12,13,52,95,8,0,0,1,0,0,8,0.03
6,3,3,31,92,9.9,0,0,1,0,0,9.9,2
4,22,7,49,129,108,0,0,1,0,0,108,0.03
4,23,11,49,120,20,0,0,1,0,0,20,3.47
10,7,7,51,117,7,0,7,1,0,1,7,0.59
19,22,1,42,103,0,0,0,0,0,0,150,18.47
4,7,4,60,96,9.9,0,0,1,0,0,9.9,11.77
3,5,2,58,81,0,0,4.9,0,0,1,4.9,21.69
4,4,2,60,100,20,0,0,1,0,0,20,23.82
38,39,11,74,96,0,0,0,0,0,0,60,35.03
3,8,2,71,88,9.9,0,9.9,1,0,1,9.9,26.41
5,28,21,36,113,31.5,0,0,1,0,0,31.5,5.77
12,2,6,38,123,0,0,0,0,0,0,100,11.2
9,39,1,58,98,30,0,0,1,0,0,30,1.14
6,23,13,27,92,0,0,4,0,0,1,4,4.95
18,9,6,18,118,0,0,0,0,0,0,25,8.37
10,11,3,88,102,12,0,0,1,0,0,12,0.62
2,16,2,84,101,0,60,0,0,1,0,60,12.61
7,20,8,38,98,40,0,0,1,0,0,40,7.46
4,21,17,55,98,27,0,0,1,0,0,27,14.79
1,2,3,77,104,9,0,0,1,0,0,9,4.75
4,3,4,55,111,0,0,0,0,0,0,17,15.13
11,14,4,38,92,26,0,0,1,0,0,26,6.18
3,13,5,42,105,45,0,0,1,0,0,45,16.89
4,6,31,39,111,38,0,0,1,0,0,38,11
4,15,3,94,128,0,0,0,0,0,0,30,0.88
8,1,2,65,99,0,0,9,0,0,1,9,14.07
19,22,11,60,124,85,0,0,1,0,0,85,12.7
13,16,3,62,117,0,0,9,0,0,1,9,40.01
11,10,4,64,132,13,0,0,1,0,0,13,0.06
6,23,3,66,115,0,0,0,0,0,0,25,3.4
5,4,3,34,105,0,0,0,0,0,0,40,5.46
20,17,1,54,98,26,0,0,1,0,0,26,1.11
7,6,18,30,102,0,0,0,0,0,0,95,7.22
13,19,31,47,98,0,0,0,0,0,0,127,17.1
